"name" "rpkm" "sample"
"1235" "656390.ERLG_03933" 2959.58058515136 "164HP"
"1248" "550672.ECCG_03912" 3951.52792413066 "164HP"
"128630" "656404.ERGG_01211" 11543.7894412806 "164HP"
"1292" "T2D-155A_GL0085364" 5351.02739726027 "164HP"
"1293" "MH0265_GL0062939" 1547.28503053309 "164HP"
"1296" "O2.UC19-1_GL0082498" 1876.52467629949 "164HP"
"1318" "656414.ECHG_03158" 10100.8157611205 "164HP"
"1321" "T2D-123A_GL0086183" 2754.4162473833 "164HP"
"1322" "MH0014_GL0110987" 8889.13840856351 "164HP"
"132937" "MH0014_GL0078399" 5723.6616171252 "164HP"
"1338" "MH0427_GL0048450" 3847.9298137602 "164HP"
"1361" "199310.c3763" 14868.9612831434 "164HP"
"1370" "591020.SFxv_1753" 21404.1095890411 "164HP"
"1371" "MH0277_GL0048662" 3004.08555635664 "164HP"
"1373" "V1.CD11-0_GL0040229" 2977.96307325789 "164HP"
"137448" "NLM015_GL0010489" 15472.8503053309 "164HP"
"1375" "566546.ECW_m3763" 2467.33251746871 "164HP"
"1379" "MH0014_GL0072727" 16604.400166044 "164HP"
"1391" "766146.SFK218_0727" 2358.57956904034 "164HP"
"1393" "MH0309_GL0022381" 4202.03378435163 "164HP"
"1436" "1033813.ECNA114_3613" 1542.6385289399 "164HP"
"1437" "300267.SDY_3559" 7198.97980171953 "164HP"
"145128" "N043A_GL0090156" 19270.5809804872 "164HP"
"1487" "MH0014_GL0094955" 2717.98217003696 "164HP"
"1490" "T2D-12A_GL0089039" 1615.40449728612 "164HP"
"1497" "SZEY-79A_GL0004412" 5188.87505188875 "164HP"
"1517" "O2.UC3-1_GL0093006" 3124.68753124688 "164HP"
"1519" "SZEY-73A_GL0011496" 13569.3977772034 "164HP"
"1529" "SZEY-95A_GL0012176" 3968.9739635308 "164HP"
"1531" "MH0415_GL0078026" 2378.23439878234 "164HP"
"1533" "T2D-57A_GL0109943" 6703.06634816945 "164HP"
"1541" "V1.FI22_GL0143835" 2614.24239255464 "164HP"
