	alien-11-0-0	alien-11-60-0	kazan5500_2015_05_26_1_L04_25HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_43HP_F3	kazan5500_2015_06_20_1_L01_50HP_F3	kazan5500_2015_06_20_1_L01_59HP_F3	kazan5500_2015_11_27_1_L02_58HP_F3	kazan5500_2015_11_27_1_L05_88HP_F3	kazan5500_2015_11_27_1_L06_98HP_F3	kazan5500_2015_12_11_L01_70HP_F3	kazan5500_2016_04_22_1_L01_115HP_F3	kazan5500_2016_04_22_1_L01_119HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_160HP_F3	kazan5500_2016_05_31_HP_A_L03_164HP_F3	scavenger-11-0-0
g000788	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000789	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000790	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000791	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1
g000792	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000835	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
g000837	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1
g000846	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
g000850	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000851	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000852	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000853	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000860	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000877	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000881	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000882	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000885	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000886	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0
g000887	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0
g000896	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000905	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
g000908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000909	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
g000910	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1
g000913	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
